rating,reviewer_id,date,review_title,review_body
5.0,MommyAj,2025-02-16,it's great,i almost didnt buy this after reading some od the reviews..but i got it anyway...pretty decent for the price. i got this for my 9 year old. he loves it and its just like the picture. it's worth the money. i would buy this again when my other kids get older
5.0,Cassie,2025-03-11,DEFINITELY WORTH THE BUY!,"Amazing purchase! Very happy with how fast they were delivered %26 quality of the mattresses Bought a full size %26 a twin for my son. Both came in a box undamaged %26 in great shape. Very comfortable to sleep on would deff but again if needing a mattress, great price too!"
1.0,Kelley,2025-02-09,,This mattress is not what it's supposed to be the quality is ridiculously horrible. . It's barely 4 inches tall. It came rolled up in a box dirty. You can feel the springs on both sides. Walmart should not continue to sell this product. Inferior doesn't even describe the quality of this product.
2.0,Walmart customer,2025-03-05,Don't do it!!,It's okay for maybe a little child however I purchased 2 of these for a daybed and trundle. You can hear the springs when you sit on it feels as if they're about to pop any second. Wasn't worth $70.00 at best $40. I'll definitely need to replace these in the near future.
1.0,DontBuy,2025-03-05,Desperate for Attention Zinus?,This is being sold as a mattresss its false. If I accidently reported your review my apologies... Somehow I see this as a joke someone sitting back laughing at all the dumb folks that fell for this. Jokes on you! Do the world a favor and please dont waste our time.
5.0,MommyAj,2025-02-16,it's great,i almost didnt buy this after reading some od the reviews..but i got it anyway...pretty decent for the price. i got this for my 9 year old. he loves it and its just like the picture. it's worth the money. i would buy this again when my other kids get older
1.0,DarlaA,2025-02-21,Not great,"This mattress is pretty uncomfortable, I can feel the springs and when I sit on the bed, I can feel the bars of the bedframe, I would suggest a mattress topper, but I don't even know if that would help. I'm laying on my stomach on it, and I can feel the springs in my ribs."
1.0,Sabrina,2025-03-19,Should not be called a mattress.,It is not a mattress. It is more like an uncomfortable mattress pad. You can feel the inside spirals with very little pressure. My 90 lb daughter sat on it and was instantly sitting on the floor. Like sitting on an air mattress that does not have enough air. Worth the money.
1.0,Madi,2025-01-29,An overpriced SCAM. Save your $$ and your back,"I went into this knowing a mattress in a box would be thin, but this is MAYBE 3 inches tall, and lacks so much support, I might as well sleep on the ground with a blanket under me. The $15 air mattress I got from Walmart feels like heaven compared to this. I never thought I'd miss my old dorm room mattress, but boy do I. For $60 this is an absolute piece of trash. A complete scam. I wouldn't even donate it, I'd feel bad for anyone who had to sleep on it. Maybe a kid could use it, but there's so little support! I couldn't tell you what the springs are there for, but I can definitely feel them. Absolutely refund worthy, this thing wasn't worth half of what I paid for it. SERIOUSLY, stick with the air mattress. I'm willing to fight tooth and nail for a refund for this thing, I have no idea what I'm supposed to do with it, it's SO uncomfortable. A dog bed?"
1.0,Lindsey,2024-12-19,,very uncomfortable. its made so cheap that you can literally feel the springs without barely having to apply any pressure so imagine laying on it. i have a very thick mattress topper so it does help somewhat. even with having a thick mattress cover; i wouldn't recommend
1.0,Vikram,2025-08-05,,It's too springy. Top cushion layer is not good. I feel like I am directly sleeping on springs. Getting back pain after using this bed.
5.0,Gregory,2025-11-20,,"Bed came in a long box. i am somewhat physically limited, but I didn't have any problems getting it set up alone."
5.0,Missy0712,2025-11-22,,This mattress is very comfortable and the value was great. I'm glad that it can stand alone without a box spring. I highly recommend.
3.0,GERALD,2025-12-09,OK if you're not too heavy.,"This is not made for a ""grown"" adult. Would be fine for a lightweight maybe 130lbs. Length is good, just not enough support."
1.0,Sierra,2026-01-05,,If you like being able to feel %26 hear the springs with every move this mattress is for you! The most uncomfortable mattress I have ever laid on.
5.0,WalmartCustomer,2025-11-24,,I needed a full mattress for my granddaughter. This was price affordable and delivery was quick. Very satisfied.
4.0,Lindsey,2025-10-15,,Not a bad matterss at all but it is a little springy in my opinion. My son doesn't seem to mind it at all tho.
3.0,betty,2025-11-24,,"The price is good, but the firmness and the thickness of the mattress is not too good, but it does serve purpose."
5.0,ashley,2025-08-20,Bed mattress,It fit great and in the area for my son going to last him a good while fits perfectly on a twin size frame
5.0,mattie,2025-09-20,TWIN MATTRESS,"BEEN USING THE FOAM TOPPERS, AND THEY DON'T DO MUCH, SO I DECIDED TO TRY THIS ONE. SO FAR IT FEELS GOOD."
1.0,Lorena,2025-11-02,Flimsy %26 uncomfortable,"Not the best quality, you can feel the inner springs. It's a lot heavier than expected. They're so flimsy it makes it difficult to move around."
1.0,Olivia,2025-11-05,Unsatisfied,Hurts my shoulders and will need to get mattress pads to make it sleep worthy. Worst mattress I've ever experienced
5.0,WalmartCustomer,2026-02-15,,It was a nice bed for my teenage daughter and she loves her new bed. And it was priced within my budget for a bed
3.0,London,2025-11-13,Good for kids,Its good for the price bulbs definitely made for kids. I would like for it to be more firm but I bought it for my kids and they love it
1.0,Kate,2025-12-27,,"I would not recommend this mattress. Bought for my daughter's room and it was awful. Very thin, you could fold it in half"
3.0,Kira,2025-12-30,,Came early in the morning which i love ! Its bot exactly like the picture but its nice i may have to give it time to gully expand .
1.0,anonymous,2025-09-16,,"The product was thinner than expected it squeaks when getting in out of it. I bought for my 9-year-old, and he says it is uncomfortable."
5.0,WalmartCustomer,2025-09-09,,The product is awesome. But the price could have been lower. The price got lower a day after I bought the mattress by a few dollars.
3.0,Jennifer,2025-10-13,Wire bed!,If you want to feel wire while you're laying on it then get this bed of course it was cheap so you get what you pay for
2.0,David,2025-10-17,,IF YOU DONT HAVE BOXSPRING DONT BUY IT . IT ADVERTISED U DONT NEED A BOX SPRING IT WILL BE FINE.IF YOU LIKE SLEEING ON THE FLOOR
1.0,mamad,2025-08-07,,"this was supposed to be an 8 inch matress, and it is only exactly 7 inches thick also you can feel all the springs through the very thin top fabric"
5.0,Reem,2025-09-18,Get it,"Perfect for the price. If you're in tight time and need a mattress fast, this is great and doesn't need a topper."
1.0,Shirley,2025-08-01,it sucks,it's the most uncomfortable as bed there is it sucks if I could get it back in the box I would return it
5.0,Hadeil,2025-10-12,Best Buy ever,"So comfortable, perfect size, hight quality, very fast shipping and delivery, highly recommend l to everyone"
1.0,jessica,2025-10-02,Not a good quality,The quality of the mattress was not how it said it was.. You could have feel the hard wires of the mattress it was not comfortable at all
4.0,Brenda,2026-01-25,,the mattress was long enough but they way it sounded on here that it was firm its softer that a toddler mattress.
3.0,San,2025-10-18,Needed expense,Good value but deceptive description. Too much springiness in the mattress. Not enough cushion for comfort. Purchased as a necessity and on a budget.
