rating,reviewer_id,date,review_title,review_body
,Dee,2025-06-19,,"It's inexpensive but don't expect it to be like a high end mattress. It is very firm but is very jiggly. If you sleep with a partner, any movement will shake them and their movement will shake you. I got the 8 inch mattress and a 4 inch foam topper. I also don't expect this to last 10 years. It might be great for a guest room though."
,Surbhi,2025-06-14,,"Two months ago, I requested a refund from Walmart, but I still haven't received it. The customer service experience was frustrating - they passed the blame around, and despite calling multiple times, I was told that my request wasn't escalated as claimed. Buyer beware: Walmart's refund process is a nightmare. Avoid ordering from them if you can."
,Christopher,2025-06-24,,Even after letting it sit for 38 hours it was significantly deformed. One side completely collapses when you put any pressure on it and the whole mattress has a wave to it. Terrible product. Buying mattresses online is already skeptical and products like these are exactly why.
,Carrie,2025-06-27,,"Extremely comfortable - I've been sleeping on one of these for 14 years now, and just got another for a day bed in my guest room. Comes rolled up in a box, vacuum packed, with a cute warning card because if you're not careful opening the package, it will explode on you. :) Just go slow."
,Emma,2025-06-22,,Worst mattress ever. Bought the 6 inch mattress to put on my daybed. The springs were terrible and felt like you were on an awful air mattress as soon as someone else sat down. No padding whatsoever. Had to transport and bring to a Walmart store for return. Do not waste your time with this mattress.
,WalmartCustomer,2025-03-23,,"It's very uncomfortable, took too long to ship, not worth the money, coils can be felt through top of the mattress %26 it doesn't fit in the twin XL bed frame l purchased from a competitor of Walmart since I couldn't find a single bed frame my daughter %26 I wanted to have delivered same or next day. Now I can't return it because it's been taken out of the vacuum seal so I'll just have to take the loss and purchase another mattress from somewhere else. Thanks for nothing Walmart"
,Raza,2025-11-07,,"This mattress is NOT RETURNABLE despite walmarts website sayin it is returnable. I received a used, damaged mattress. Walmart will only refund it if you can get it back into the box and that's impossible."
,Elias,2025-08-31,,"When I took the mattress out of the box, I was very pleased. Within a few weeks it had flattened permanently in the center. It is like a one inch foam pad"
,Ann,2025-11-22,,"Very thin with little support. Springs pushed right through the material. My seven year old only laid on it for a minute, it instantly went flat and he complained that it poked him."
,Joan,2026-03-03,,"I bought this mattress for a 6-month stay at a temporary address. I am ""camping out"" and do not intend to keep the mattress after the 6 months. As a temporary mattress, it is okay, but I would not recommend it for ongoing use. Too soft, and you can feel the springs when you move your sleeping positions."
,Dee,2025-06-19,,"It's inexpensive but don't expect it to be like a high end mattress. It is very firm but is very jiggly. If you sleep with a partner, any movement will shake them and their movement will shake you. I got the 8 inch mattress and a 4 inch foam topper. I also don't expect this to last 10 years. It might be great for a guest room though."
,Surbhi,2025-06-14,,"Two months ago, I requested a refund from Walmart, but I still haven't received it. The customer service experience was frustrating - they passed the blame around, and despite calling multiple times, I was told that my request wasn't escalated as claimed. Buyer beware: Walmart's refund process is a nightmare. Avoid ordering from them if you can."
,Christopher,2025-06-24,,Even after letting it sit for 38 hours it was significantly deformed. One side completely collapses when you put any pressure on it and the whole mattress has a wave to it. Terrible product. Buying mattresses online is already skeptical and products like these are exactly why.
,Carrie,2025-06-27,,"Extremely comfortable - I've been sleeping on one of these for 14 years now, and just got another for a day bed in my guest room. Comes rolled up in a box, vacuum packed, with a cute warning card because if you're not careful opening the package, it will explode on you. :) Just go slow."
,Emma,2025-06-22,,Worst mattress ever. Bought the 6 inch mattress to put on my daybed. The springs were terrible and felt like you were on an awful air mattress as soon as someone else sat down. No padding whatsoever. Had to transport and bring to a Walmart store for return. Do not waste your time with this mattress.
